Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,72.53851318359375,72.59889150198023,71.29230380764884,71.54588979671196,135480400
2020-01-03,71.83329010009766,72.59405542623057,71.60868452797844,71.76566667933918,146322800
2020-01-06,72.4056625366211,72.44430553740506,70.7029972337209,70.95417305361724,118387200
2020-01-07,72.06515502929688,72.67134838279743,71.84537704823941,72.41534488187352,108872000
2020-01-08,73.22439575195312,73.5262872851597,71.76807129058055,71.76807129058055,132079200
2020-01-09,74.77976989746094,74.97297760387046,73.95138098488776,74.20254952913984,170108400
2020-01-10,74.94880676269531,75.51395427727236,74.446462424671,75.01402005997716,140644800
2020-01-13,76.550048828125,76.57661912211044,75.14685723047293,75.26520375211625,121532000
2020-01-14,75.51636505126953,76.6973684411486,75.39319829942681,76.48725308231118,161954400
2020-01-15,75.19273376464844,76.19742976100052,74.76042298692015,75.31590787968373,121923600
2020-01-16,76.13465118408203,76.24575261001203,75.37388575466262,75.73615570871007,108829200
2020-01-17,76.97752380371094,76.97993392443253,76.07667669301796,76.38339587903954,137816400
2020-01-21,76.45585632324219,77.04755940221253,76.31819199284013,76.60559336877427,110843200
2020-01-22,76.728759765625,77.2818197819215,76.63456606365708,76.94128522699003,101832400
2020-01-23,77.09829711914062,77.17799326899588,76.23367533614605,76.78191527056143,104472000
2020-01-24,76.87609100341797,78.08848500678306,76.68529344990502,77.34462735281411,146537600
2020-01-27,74.61553955078125,75.29660147871274,73.63257861706,74.88361578521364,161940000
2020-01-28,76.72635650634766,76.89782887589077,75.39803343183497,75.4970547636558,162234000
2020-01-29,78.3324203491211,79.1801343637196,77.6175430675433,78.35899064388555,216229200
2020-01-30,78.21891021728516,78.27204343737134,76.98236331753509,77.41467418230894,126743200
2020-01-31,74.75077819824219,77.93150399168975,74.4561316996704,77.50885574859744,199588400
2020-02-03,74.54548645019531,75.71199229580401,72.99014040911702,73.49248476536589,173788400
2020-02-04,77.00651550292969,77.197313069489,75.74581580955447,76.15155637582674,136616400
2020-02-05,77.63444519042969,78.43385354098093,77.03066200298008,78.13437206813377,118826800
2020-02-06,78.54253387451172,78.544951365906,77.34704752803583,77.90494263047137,105425600
2020-02-07,77.47490692138672,78.2907368717836,76.98347184631109,78.0413881861618,117684000
2020-02-10,77.8428955078125,77.8428955078125,75.97883426440146,76.05871954270658,109348800
2020-02-11,77.37324523925781,78.41179815824636,77.15536891605744,78.33917517981024,94323200
2020-02-12,79.21070098876953,79.21554005883662,77.82354276759801,77.82354276759801,113730400
2020-02-13,78.6466064453125,78.97342455815073,78.27863778228983,78.48198946879371,94747600
2020-02-14,78.66600036621094,78.91534913157656,78.15761730819476,78.61515688888446,80113600
2020-02-18,77.22557067871094,77.40713550005586,76.16280771158402,76.34437253292894,152531200
2020-02-19,78.3440170288086,78.57400211516978,77.46766524775612,77.46766524775612,93984000
2020-02-20,77.54029083251953,78.5933684199213,77.0343310134274,78.10435642626537,100566000
2020-02-21,75.7851791381836,77.57662522575713,75.16786149171838,77.13360277443071,129554000
2020-02-24,72.18534851074219,73.63786746473984,70.01867883709842,71.9626330750162,222195200
2020-02-25,69.74026489257812,73.23841723217687,69.26820072326095,72.85592387195561,230673600
2020-02-26,70.84658813476562,72.11270274954929,69.35775815457548,69.36502045153675,198054800
2020-02-27,66.21549987792969,69.2367421970805,66.0799320227012,68.05051976988415,320605600
2020-02-28,66.17675018310547,67.39929122080478,62.06370365251087,62.27916414492055,426510000
2020-03-02,72.33786010742188,72.9745487284491,67.2322571583197,68.33617091013136,341397200
2020-03-03,70.04045867919922,73.59428625555064,69.18830958377835,73.51440097180128,319475600
2020-03-04,73.28925323486328,73.44903118653338,70.9628058782761,71.7641114774827,219178400
2020-03-05,70.9119644165039,72.51699133415363,70.54641152199336,71.54138326049582,187572800
2020-03-06,69.97024536132812,70.40358216932741,68.08197403311165,68.26837793734198,226176800
2020-03-09,64.43616485595703,67.32183170470427,63.66874742529087,63.8503122943744,286744800
2020-03-10,69.07695007324219,69.34324665860709,65.21082898559138,67.09184552066098,285290000
2020-03-11,66.6778564453125,68.07953879233956,65.81360621039644,67.15235111618254,255598800
2020-03-12,60.0931282043457,65.36335211068649,60.037449346112034,61.95961666217629,418474000
2020-03-13,67.29277038574219,67.76484191547881,61.235766409905956,64.12628289000264,370732000
2020-03-16,58.6357536315918,62.71974667617121,58.10074101606611,58.57280879803252,322423600
2020-03-17,61.2139892578125,62.36389637725176,57.71341703004226,59.918825074630774,324056000
2020-03-18,59.71546936035156,60.521617752082875,57.403542823432716,58.04507418797264,300233600
2020-03-19,59.2579231262207,61.209139394324836,58.73259595357314,59.88976893183757,271857200
2020-03-20,55.49589538574219,60.96462703593952,55.19570687816326,59.83892290297791,401693200
2020-03-23,54.31694030761719,55.31675861475192,51.47000473892812,55.21508274022157,336752800
2020-03-24,59.76630401611328,59.962393449772364,56.720856028881734,57.21955352533474,287531200
2020-03-25,59.437068939208984,62.518828553443576,59.14172316127237,60.70318009593795,303602000
2020-03-26,62.5648193359375,62.62291771666115,59.64041473526395,59.6791494517103,252087200
2020-03-27,59.97449493408203,61.942655145225594,59.80745470235101,61.18734664760273,204216800
2020-03-30,61.68606185913086,61.8579449033271,60.376372978174516,60.700771702858496,167976400
2020-03-31,61.5601692199707,63.545277612218875,61.00579280749305,61.87730561089299,197002000
2020-04-01,58.32105255126953,60.211747296676954,57.890138928877285,59.67431503612997,176218400
2020-04-02,59.29423904418945,59.34749836465027,57.35028492920916,58.18306300120028,165934000
2020-04-03,58.44209289550781,59.48064217824671,57.85140134510496,58.77859292542469,129880000
2020-04-06,63.54042434692383,63.69535581741941,60.3715139261483,60.7394826329803,201820400
2020-04-07,62.80448532104492,65.7748907610296,62.700389921682174,65.55700704789928,202887200
2020-04-08,64.41194152832031,64.72665094840988,63.240244033180964,63.6057895375852,168895200
2020-04-09,64.87674713134766,65.38029109822737,64.0802880085237,65.04863383479294,161834800
2020-04-13,66.1501235961914,66.25906545571533,64.35383885573385,64.95421592166439,131022800
2020-04-14,69.49091339111328,69.78142008992293,67.31213531371759,67.78420685231022,194994800
2020-04-15,68.85665893554688,69.31662179135925,67.93673322392213,68.36522365380796,131154400
2020-04-16,69.40375518798828,69.7693080402414,68.3531010291873,69.57079540604494,157125200
2020-04-17,68.46204376220703,69.46670842031787,67.02404968637673,68.91959068992213,215250000
2020-04-20,67.0409927368164,68.1909032698828,67.02162907324754,67.28792562164121,130015200
2020-04-21,64.96875,67.11847920865577,64.25701512989387,66.88365501834329,180991600
2020-04-22,66.84004974365234,67.27580226433462,65.89591435691416,66.23724964497768,116862400
2020-04-23,66.5810546875,68.20787638244808,66.54231995810906,66.78440647588174,124814400
2020-04-24,68.50321197509766,68.51289750296907,67.05795538482593,67.10637563628991,126161200
2020-04-27,68.55165100097656,68.88330838944664,67.77213202143358,68.21998622461135,117087600
2020-04-28,67.44044494628906,69.19557183776718,67.3484582943587,69.01400698692461,112004800
2020-04-29,69.6555404663086,70.12518879426327,68.72592933750241,68.92928107931384,137280800
2020-04-30,71.12498474121094,71.30171048124089,69.80561823131379,70.19537380762834,183064000
2020-05-01,69.97992706298828,72.38384357310822,69.20040845206991,69.29724154783354,240616800
2020-05-04,70.97007751464844,71.09838306103778,69.31420678113763,70.00415476707384,133568000
2020-05-05,72.03524780273438,72.868025831844,71.28477828502723,71.43003164134032,147751200
2020-05-06,72.7784652709961,73.41030748628177,72.3523906692474,72.73730731555251,142333600
2020-05-07,73.53134155273438,73.87753081736858,73.10285116327836,73.40545924879912,115215200
2020-05-08,75.28152465820312,75.33492815693087,73.86391326493965,74.19161621586483,133838400
2020-05-11,76.4660873413086,76.96127521844708,74.57997904728234,74.78874082159405,145946400
2020-05-12,75.59222412109375,77.60212591001033,75.47085322222706,77.15062231412254,162301200
2020-05-13,74.67950439453125,76.69426553932014,73.60173033825646,75.77184236444022,200622400
2020-05-14,75.1383056640625,75.19899111956893,73.19394129911058,73.91731459558865,158929200
2020-05-15,74.69407653808594,74.74019807230623,72.87351305431154,72.90750046179672,166348400
2020-05-18,76.4539566040039,76.82778105681554,75.32763848421635,76.01945410801251,135178400
2020-05-19,76.01216888427734,77.31811351260087,75.98061126581322,76.47094702256406,101729600
2020-05-20,77.49048614501953,77.56087595029132,76.83265037489261,76.87148996119444,111504800
2020-05-21,76.91275024414062,77.8934293106206,76.67486058412483,77.35211236339255,102688800
2020-05-22,77.40791320800781,77.49044450659204,76.54860541656436,76.65055279391973,81803200
2020-05-26,76.88359832763672,78.70658386082842,76.82776505743689,78.52695733358873,125522000
2020-05-27,77.21858215332031,77.36422869926452,76.00002111496565,76.74038797022739,112945200
2020-05-28,77.2525634765625,78.51239377679266,76.61658126415462,76.89330301256463,133560800
2020-05-29,77.17732238769531,77.9565214299296,76.82049167356892,77.49531352794295,153532400
2020-06-01,78.12644958496094,78.24782048460888,77.00012408043993,77.13120672626943,80791200
2020-06-02,78.4881362915039,78.51241195418596,77.41764401588712,77.85943588986717,87642800
2020-06-03,78.92021179199219,79.182377080961,78.23567814710795,78.80855263967156,104491200
2020-06-04,78.24052429199219,79.04156912077111,77.8666999148798,78.74300150300884,87560400
2020-06-05,80.46891021728516,80.5295956699377,78.46143811037989,78.49056594239036,137250400
2020-06-08,80.9446792602539,80.97866666833863,79.45424844734958,80.16548014966298,95654400
2020-06-09,83.50076293945312,83.89400353389944,80.59272044537124,80.6242780697466,147712400
2020-06-10,85.64901733398438,86.11750723835495,84.01051015507953,84.44987222819896,166651600
